Course Code,Course Name,Department,Credit,Total Credits,Faculty,Approved Time Slot
DA 231o,Data Engineering at Scale,Data Science & Business Analytics Stream,3:1,4.0,Yogesh L Simmhan,"Tue, Thu 19:00-20:30"
DA 232o,Intelligent User Interface,Data Science & Business Analytics Stream,3:1,4.0,Pradipta Biswas,Sat 09:00-12:15
DA 241o,Managerial Economics,Data Science & Business Analytics Stream,3:1,4.0,Sumirtha Gandhi,"Fri, Sat 16:00-17:30"
DA 245o,Linear Optimization and Network Science,Data Science & Business Analytics Stream,3:1,4.0,Tarun Rambha,"Mon, Wed 17:30-19:00"
DA 299o,DSBA Stream Project,Data Science & Business Analytics Stream,0:32,32.0,Deepak Narayanan Subramani,"Mon, Wed, Fri 08:00-09:00"
DB 201,Mathematics and Statistics for Biologists,Division of Biological Sciences,2:0,2.0,Shantanu P Shukla & Balaji J,"Tue, Thu 10:00-11:00 & Tue, Thu 10:00-11:30"
DB 225,Project - II,Division of Biological Sciences,0:6,6.0,Tanweer Hussain,"Mon, Wed, Fri 16:00-17:00"
E0 211,Compilers and Runtime Systems for Modern Languages,Computer Science and Automation,3:1,4.0,Raghavan K V,"Tue, Thu 10:00-11:30"
E0 214,Applied Linear Algebra and Optimization,Computer Science and Automation,3:0,3.0,Shirish Krishnaji Shevade,"Mon, Wed 15:30-17:00"
E0 225,Design and Analysis of Algorithms,Computer Science and Automation,3:1,4.0,Rahul Saladi & Anand Louis,"Mon, Wed 14:00-15:30 & Mon, Wed, Fri 14:00-15:00"
E0 227,Program Analysis and Verification,Computer Science and Automation,3:1,4.0,Raghavan K V & Deepak D'Souza,"Mon, Wed, Fri 08:00-09:00 & Tue, Thu 14:00-15:30"
E0 232,Probability and statistics,Computer Science and Automation,3:1,4.0,Anant Raj,"Tue, Thu 11:30-13:00"
E0 235,Cryptography,Computer Science and Automation,3:1,4.0,Arpita Patra,"Tue, Thu 15:30-17:00"
E0 240,Modeling and Simulation,Computer Science and Automation,3:1,4.0,Sumit Kumar Mandal,"Tue, Thu 11:30-13:00"
E0 243,Computer architecture,Computer Science and Automation,3:1,4.0,Arkaprava Basu & Sanchari Sen,"Tue, Thu 08:30-10:00 & Tue, Thu 11:30-13:00"
E0 251,Data Structures and Algorithms,Computer Science and Automation,3:1,4.0,Govindarajan R & Shirish Krishnaji Shevade,"Tue, Thu 11:30-13:00"
E0 256,Theory and Practice of Computer Systems Security,Computer Science and Automation,3:1,4.0,Vinod Ganapathy,"Tue, Thu 08:30-10:00"
E0 271,Graphics and Visualization,Computer Science and Automation,3:1,4.0,Vijay Natarajan,"Tue, Thu 11:30-13:00"
E0 284,Digital VLSI Circuits,Electronic Systems Engineering,2:1,3.0,Viveka Konandur Rajanna,"Tue, Thu 10:00-11:30"
E0 297,Cryptographic Hardware Accelerators,Electronic Systems Engineering,2:1,3.0,Utsav Banerjee,"Mon, Wed, Fri 11:00-12:00"
E0 298,Linear Algebra and Its Applications,Electrical Engineering,3:1,4.0,Vaibhav Katewa,"Tue, Thu 10:00-11:30"
E0 334,Deep Learning for Natural Language Processing,Computer Science and Automation,3:1,4.0,Shirish Krishnaji Shevade,"Tue, Thu 15:30-17:00"
E0 339,Advanced Reinforcement Learning,Computer Science and Automation,3:1,4.0,Gugan Chandrashekhar Mallika Thoppe,"Tue, Thu 08:30-10:00"
E0 341,Topics in Combinatorial Optimization,Computer Science and Automation,3:1,4.0,Arindam Khan & Siddharth Barman,"Tue, Thu 15:30-17:00 & Tue, Thu 14:00-15:30"
E0 358,Advanced Techniques in Compilation and Programming for Parallel Architectures,Computer Science and Automation,3:1,4.0,Uday Kumar Reddy B,"Tue, Thu 10:00-11:30"
E1 220o,Linear Algebra,Electronics & Communication Engg. Stream,3:1,4.0,Kunal Narayan Chaudhury,"Mon, Wed, Fri 16:00-17:00"
E1 222,Stochastic Models and Applications,Electrical Engineering,3:0,3.0,Subbayya Sastry P,"Mon, Wed 09:30-11:00"
E1 240,Theory of Multi-Armed Bandits,Electrical Communication Engineering,3:0,3.0,Shubhada Agrawal,"Tue, Thu 08:30-10:00"
E1 241,Dynamics of Linear Systems,Electrical Engineering,3:0,3.0,Kiran Kumari,"Tue, Thu 14:00-15:30"
E1 250,Mathematics for Electric Power Engineers,Electrical Engineering,3:0,3.0,Kaushik Basu,"Mon, Wed, Fri 11:00-12:00"
E1 251,Linear and Nonlinear Optimization,Electrical Engineering,3:0,3.0,Muthuvel Arigovindan,"Wed, Fri 14:00-15:30"
E1 276,Foundations of Asymptotic Probability,Computer Science and Automation,3:0,3.0,Shalabh Bhatnagar,"Tue, Thu 10:00-11:30"
E1 277o,Reinforcement Learning,Artificial Intelligence Stream,3:1,4.0,Shalabh Bhatnagar,"Mon, Wed 19:00-08:30"
E1 286o,Deep Generative Models,Artificial Intelligence Stream,3:1,4.0,Prathosh A P,Sat 10:00-13:00
E2 202,Random Processes,Electrical Communication Engineering,3:0,3.0,Rajesh Sundaresan,"Tue, Thu 14:00-15:30"
